"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"E075A01-A8";1;"E075A01-A8";;;
2;"C10,C3,C8,C7,C9,C2";"0805C";6;"UMK212BBJ475KG-T-4u7-50V";;;
3;"R35,R39,R20,R8,R5,R40,R38,R34,R36,R26,R31,R25,R33,R7,R6";"0603R";15;"100k";;;
4;"U3";"ESP32-WROVER";1;"ESP32-WROVER";;;
5;"R30,R32,R23,R19,R18";"0603R";5;"1k";;;
6;"D7,D8";"M4_DIODA";2;"M4_DIODA";;;
7;"C13,C22,C21,C33,C24,C27";"0603C";6;"2u2";;;
8;"Q3";"SOT-23-3";1;"CJ2310";;;
9;"K41,K32,K15,K5,K12,K42,K7,K16,K13,K22,K44,K17,K26,K28,K31,K19,K30,K6,K37,K23,K24,K20,K35,K2,K11,K9,K29,K8,K34,K36,K3,K14,K21,K33,K18,K25,K4,K46,K10,K43,K27";"HEADER_MALE_1X1_Inkplate";41;"HEADER_MALE_1X1_Inkplate";;;
10;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
11;"PAD1,PAD9,PAD4,PAD8,PAD3,PAD7,PAD2,PAD6,PAD5";"PAD_4x4";9;"PAD_4x4";;;
12;"U9";"PCF85063A";1;"PCF85063A";;;
13;"Q4,Q10,Q5";"SOT-23-3";3;"NPN";;;
14;"R13,R14";"0603R";2;"5k1";;;
15;"K38";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
16;"R1";"0603R";1;"100R";;;
17;"Q9,Q11";"SOT-23-3";2;"SSM3J358R,LF";;;
18;"Q6,Q1";"SOT-23-3";2;"NMOS";;;
19;"JP5,JP2,JP1,JP6,JP3";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
20;"H4,H2,H3,H1";"Standoff_M3";4;"Standoff_M3";;;
21;"L1";"SRN5040TA-680K";1;"SRN5040TA-680K-68u";;;
22;"K45";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
23;"C19,C15,C35,C29,C14,C16,C25,C28,C34,C32,C18,C26";"0603C";12;"100n";;;
24;"D4";"0402LED";1;"RED";;;
25;"D1,D2,D3";"SOD−123";3;"MBR0530T1G";;;
26;"R29,R4";"0603R";2;"DNP";;;
27;"R12,R21,R15,R22,R37,R11,R2,R16,R9,R3";"0603R";10;"10k";;;
28;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
29;"C23,C11,C17";"1206C";3;"10u";;;
30;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
31;"C31,C30";"0603C";2;"DNP";;;
32;"R28";"0603R";1;"47R";;;
33;"U7";"TSSOP-14";1;"MC14093BDTR2G";;;
34;"C20,C12";"2917C";2;"DNP";;;
35;"D5";"LTST-S270GKT";1;"0603LED_SIDE";;;
36;"K48";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
37;"C5,C1,C4,C6";"0603C";4;"GMK107BJ105KAHT-1u-35V";;;
38;"K1";"SFV24R-2STBE1HLF";1;"SFV24R-2STBE1HLF";;;
39;"U6";"SOT-23-5";1;"MCP73831T";;;
40;"U2";"PCAL6416AHF,128";1;"PCAL6416AHF,128";;;
41;"U8";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
42;"R27";"0603R";1;"2k49";;;
43;"K39";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
44;"SW2,SW3";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
45;"Q12,Q2,Q8,Q7";"SOT-23-3";4;"PMOS";;;
46;"U5";"SOP-16";1;"CH340C";;;
47;"K47";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
48;"U4";"SOT-23-5";1;"TPS3840PL27DBVR";;;
49;"D6";"SOD-323";1;"BAT20J";;;
50;"R10";"0603R";1;"0R47";;;
51;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
52;"K40";"easyC-connector";1;"easyC-SMD";;;
53;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
54;"R17";"0603R";1;"47k";;;
55;"R24";"0603R";1;"510k";;;
